n_genes,n_cells,K,glmpca_loglik,nmf_loglik
875,500,2,-0.44710161894531153,-0.4508267925240055
875,500,5,-0.45440712438104014,-0.469568107599806
875,500,10,-0.496583895923697,-0.5071410668052339
875,500,20,-8.311002662264976,-0.5366084682899064
1750,1000,2,-0.4516350717165464,-0.45246481911884423
1750,1000,5,-0.44555769737251344,-0.44930624113672657
1750,1000,10,-0.46282537918869254,-0.46668949272615423
1750,1000,20,-8.271457229788545,-0.4785365890143345
3500,2000,2,-0.4421904540161735,-0.4422963822416968
3500,2000,5,-0.44591993396744206,-0.447285016179789
3500,2000,10,-0.49930732619941787,-0.44968413232514914
3500,2000,20,-8.479815993997713,-0.462141006683535
875,500,20,-0.45485191023950866,-0.5355621408704547
1750,1000,20,-0.46843883429375127,-0.48255052848101676
3500,2000,20,-0.4646834603629371,-0.4598736906909343
